"periodo","p1","p2","p3_1","p3_2","p3_3","p3_4","p3_5","p5","p7","p7_3","p24","p25","edad","sexo"
"0219",1,2,2,2,2,2,2,0,0,0,0,0,52,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,75,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,67,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,65,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,66,1
"0219",1,1,2,1,1,2,1,0,0,0,5,3,39,1
"0219",1,1,1,2,2,2,1,4,2,0,2,3,47,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,42,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,67,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,45,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,51,1
"0219",1,1,1,2,2,2,1,4,2,0,1,4,50,2
"0219",1,1,1,2,2,2,1,4,3,260,2,4,29,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,62,2
"0219",1,1,1,2,2,2,2,4,3,240,0,0,63,2
"0219",1,1,1,2,2,2,2,4,2,0,0,0,73,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,56,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,24,1
"0219",1,1,1,2,2,2,2,5,3,210,0,0,47,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,41,2
"0219",1,2,2,2,1,2,1,0,0,0,5,4,28,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,56,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,31,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,37,2
"0219",1,1,1,2,1,2,1,4,3,120,2,4,43,1
"0219",1,1,1,2,2,2,1,1,1,0,2,1,52,2
"0219",1,2,2,2,1,2,1,0,0,0,5,4,19,1
"0219",1,2,2,2,2,2,1,0,0,0,5,4,21,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,25,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,50,2
"0219",1,1,1,2,2,2,1,4,2,0,2,4,25,2
"0219",1,1,1,2,2,2,1,2,3,280,2,2,20,2
"0219",1,1,1,2,2,2,1,4,2,0,5,4,62,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,18,1
